,anchor,map,rum,spyglass,rat,shark,parrot,kraken,coin,arrow_left,arrow_right,arrow_up,arrow_down,
0,30.0,153.0,372.0,43.0,10.0,67.0,1582.0,1165.0,100.0,2791.0,2886.0,2925.0,2861.0,
1,139.0,603.0,843.0,292.0,53.0,323.0,3708.0,1562.0,386.0,3688.0,3578.0,3647.0,3658.0,
2,430.0,1155.0,1443.0,758.0,236.0,819.0,1966.0,2481.0,937.0,2301.0,2211.0,2173.0,2204.0,
3,845.0,1692.0,2010.0,1374.0,600.0,1508.0,2041.0,2211.0,1579.0,893.0,949.0,918.0,919.0,
4,1261.0,1854.0,2072.0,1768.0,1158.0,1894.0,364.0,1516.0,2357.0,253.0,285.0,258.0,289.0,
5,1574.0,1662.0,1578.0,1795.0,1652.0,1890.0,300.0,688.0,2561.0,56.0,81.0,64.0,54.0,
6,1584.0,1264.0,954.0,1534.0,1753.0,1435.0,22.0,284.0,1474.0,18.0,9.0,12.0,13.0,
7,1409.0,752.0,475.0,1073.0,1702.0,1006.0,14.0,71.0,386.0,,1.0,2.0,2.0,
8,1104.0,478.0,169.0,670.0,1217.0,572.0,2.0,16.0,145.0,,,1.0,,
9,786.0,239.0,60.0,395.0,705.0,276.0,,5.0,49.0,,,,,
10,462.0,99.0,19.0,193.0,411.0,134.0,,1.0,18.0,,,,,
11,245.0,28.0,4.0,58.0,250.0,48.0,1.0,,6.0,,,,,
12,101.0,18.0,1.0,31.0,135.0,19.0,,,1.0,,,,,
13,21.0,3.0,,11.0,59.0,6.0,,,1.0,,,,,
14,8.0,,,5.0,38.0,2.0,,,,,,,,
15,1.0,,,,16.0,1.0,,,,,,,,
16,,,,,3.0,,,,,,,,,
17,,,,,2.0,,,,,,,,,
19,,,,,,,,,,,,,,1.0
21,,,,,,,,,,,,,,2.0
22,,,,,,,,,,,,,,4.0
23,,,,,,,,,,,,,,8.0
24,,,,,,,,,,,,,,19.0
25,,,,,,,,,,,,,,36.0
26,,,,,,,,,,,,,,54.0
27,,,,,,,,,,,,,,103.0
28,,,,,,,,,,,,,,145.0
29,,,,,,,,,,,,,,230.0
30,,,,,,,,,,,,,,340.0
31,,,,,,,,,,,,,,468.0
32,,,,,,,,,,,,,,595.0
33,,,,,,,,,,,,,,736.0
34,,,,,,,,,,,,,,795.0
35,,,,,,,,,,,,,,860.0
36,,,,,,,,,,,,,,927.0
37,,,,,,,,,,,,,,923.0
38,,,,,,,,,,,,,,855.0
39,,,,,,,,,,,,,,754.0
40,,,,,,,,,,,,,,638.0
41,,,,,,,,,,,,,,475.0
42,,,,,,,,,,,,,,375.0
43,,,,,,,,,,,,,,259.0
44,,,,,,,,,,,,,,160.0
45,,,,,,,,,,,,,,108.0
46,,,,,,,,,,,,,,58.0
47,,,,,,,,,,,,,,40.0
48,,,,,,,,,,,,,,20.0
49,,,,,,,,,,,,,,4.0
50,,,,,,,,,,,,,,5.0
51,,,,,,,,,,,,,,1.0
52,,,,,,,,,,,,,,1.0
53,,,,,,,,,,,,,,1.0
