,anchor,map,rum,spyglass,rat,shark,parrot,kraken,coin,arrow_left,arrow_right,arrow_up,arrow_down,
0,44.0,221.0,617.0,58.0,3.0,34.0,1849.0,1145.0,156.0,2846.0,2682.0,2824.0,2856.0,
1,222.0,750.0,1229.0,314.0,32.0,230.0,3768.0,1695.0,554.0,3577.0,3729.0,3532.0,3517.0,
2,574.0,1540.0,1964.0,906.0,112.0,660.0,1981.0,2600.0,1139.0,2314.0,2298.0,2310.0,2227.0,
3,1113.0,1949.0,2229.0,1571.0,340.0,1277.0,1786.0,2214.0,1735.0,910.0,943.0,1001.0,981.0,
4,1596.0,1968.0,1963.0,1907.0,709.0,1717.0,330.0,1371.0,2159.0,272.0,263.0,253.0,331.0,
5,1706.0,1556.0,1211.0,1821.0,1191.0,1860.0,246.0,649.0,2112.0,69.0,68.0,64.0,77.0,
6,1628.0,1002.0,524.0,1430.0,1551.0,1598.0,21.0,240.0,1268.0,11.0,13.0,13.0,10.0,
7,1313.0,585.0,186.0,932.0,1656.0,1169.0,17.0,68.0,493.0,1.0,4.0,2.0,1.0,
8,826.0,267.0,61.0,569.0,1542.0,738.0,1.0,11.0,217.0,,,1.0,,
9,519.0,117.0,15.0,280.0,1168.0,387.0,1.0,6.0,101.0,,,,,
10,266.0,34.0,1.0,144.0,733.0,196.0,,,43.0,,,,,
11,125.0,10.0,,51.0,419.0,75.0,,1.0,14.0,,,,,
12,47.0,1.0,,14.0,247.0,37.0,,,6.0,,,,,
13,16.0,,,3.0,162.0,16.0,,,2.0,,,,,
14,4.0,,,,84.0,3.0,,,1.0,,,,,
15,1.0,,,,29.0,2.0,,,,,,,,
16,,,,,12.0,,,,,,,,,
17,,,,,10.0,,,,,,,,,
18,,,,,,1.0,,,,,,,,
19,,,,,,,,,,,,,,1.0
21,,,,,,,,,,,,,,3.0
22,,,,,,,,,,,,,,4.0
23,,,,,,,,,,,,,,3.0
24,,,,,,,,,,,,,,10.0
25,,,,,,,,,,,,,,23.0
26,,,,,,,,,,,,,,40.0
27,,,,,,,,,,,,,,72.0
28,,,,,,,,,,,,,,114.0
29,,,,,,,,,,,,,,171.0
30,,,,,,,,,,,,,,256.0
31,,,,,,,,,,,,,,350.0
32,,,,,,,,,,,,,,489.0
33,,,,,,,,,,,,,,604.0
34,,,,,,,,,,,,,,716.0
35,,,,,,,,,,,,,,837.0
36,,,,,,,,,,,,,,861.0
37,,,,,,,,,,,,,,927.0
38,,,,,,,,,,,,,,856.0
39,,,,,,,,,,,,,,817.0
40,,,,,,,,,,,,,,697.0
41,,,,,,,,,,,,,,593.0
42,,,,,,,,,,,,,,436.0
43,,,,,,,,,,,,,,394.0
44,,,,,,,,,,,,,,256.0
45,,,,,,,,,,,,,,179.0
46,,,,,,,,,,,,,,113.0
47,,,,,,,,,,,,,,90.0
48,,,,,,,,,,,,,,50.0
49,,,,,,,,,,,,,,16.0
50,,,,,,,,,,,,,,11.0
51,,,,,,,,,,,,,,5.0
52,,,,,,,,,,,,,,4.0
53,,,,,,,,,,,,,,2.0
