,anchor,map,rum,spyglass,rat,shark,parrot,kraken,coin,arrow_left,arrow_right,arrow_up,arrow_down,
0,6.0,20.0,44.0,1.0,3.0,8.0,159.0,125.0,9.0,295.0,309.0,290.0,320.0,
1,12.0,62.0,80.0,24.0,8.0,40.0,360.0,145.0,52.0,361.0,333.0,369.0,329.0,
2,41.0,132.0,145.0,71.0,25.0,80.0,201.0,254.0,101.0,218.0,219.0,217.0,225.0,
3,86.0,163.0,185.0,139.0,66.0,145.0,223.0,219.0,163.0,91.0,99.0,96.0,90.0,
4,110.0,184.0,207.0,198.0,111.0,222.0,29.0,138.0,243.0,22.0,29.0,20.0,26.0,
5,152.0,164.0,173.0,170.0,136.0,168.0,22.0,77.0,225.0,11.0,9.0,6.0,9.0,
6,170.0,137.0,93.0,137.0,172.0,137.0,3.0,27.0,149.0,2.0,2.0,2.0,1.0,
7,153.0,61.0,51.0,112.0,170.0,95.0,1.0,11.0,46.0,,,,,
8,95.0,40.0,17.0,73.0,135.0,61.0,2.0,2.0,8.0,,,,,
9,72.0,18.0,3.0,40.0,75.0,28.0,,2.0,1.0,,,,,
10,64.0,14.0,2.0,17.0,52.0,9.0,,,2.0,,,,,
11,28.0,5.0,,14.0,29.0,5.0,,,,,,,,
12,7.0,,,3.0,10.0,2.0,,,1.0,,,,,
13,4.0,,,1.0,5.0,,,,,,,,,
15,,,,,2.0,,,,,,,,,
17,,,,,1.0,,,,,,,,,
21,,,,,,,,,,,,,,1.0
22,,,,,,,,,,,,,,1.0
24,,,,,,,,,,,,,,2.0
25,,,,,,,,,,,,,,4.0
26,,,,,,,,,,,,,,4.0
27,,,,,,,,,,,,,,8.0
28,,,,,,,,,,,,,,14.0
29,,,,,,,,,,,,,,27.0
30,,,,,,,,,,,,,,27.0
31,,,,,,,,,,,,,,49.0
32,,,,,,,,,,,,,,64.0
33,,,,,,,,,,,,,,60.0
34,,,,,,,,,,,,,,76.0
35,,,,,,,,,,,,,,80.0
36,,,,,,,,,,,,,,96.0
37,,,,,,,,,,,,,,97.0
38,,,,,,,,,,,,,,91.0
39,,,,,,,,,,,,,,77.0
40,,,,,,,,,,,,,,62.0
41,,,,,,,,,,,,,,58.0
42,,,,,,,,,,,,,,33.0
43,,,,,,,,,,,,,,27.0
44,,,,,,,,,,,,,,8.0
45,,,,,,,,,,,,,,17.0
46,,,,,,,,,,,,,,7.0
47,,,,,,,,,,,,,,5.0
48,,,,,,,,,,,,,,4.0
51,,,,,,,,,,,,,,1.0
