,anchor,map,rum,spyglass,rat,shark,parrot,kraken,coin,arrow_left,arrow_right,arrow_up,arrow_down,
0,28.0,145.0,373.0,47.0,9.0,66.0,1683.0,1140.0,103.0,2885.0,2965.0,2870.0,2923.0,
1,149.0,574.0,796.0,270.0,58.0,303.0,3621.0,1618.0,394.0,3631.0,3601.0,3637.0,3623.0,
2,430.0,1229.0,1482.0,779.0,248.0,831.0,1950.0,2431.0,930.0,2199.0,2182.0,2227.0,2198.0,
3,818.0,1664.0,1940.0,1343.0,555.0,1492.0,2070.0,2246.0,1591.0,933.0,905.0,918.0,932.0,
4,1232.0,1892.0,2044.0,1801.0,1115.0,1825.0,313.0,1412.0,2428.0,272.0,270.0,254.0,245.0,
5,1509.0,1629.0,1653.0,1802.0,1627.0,1912.0,317.0,758.0,2490.0,68.0,60.0,76.0,67.0,
6,1570.0,1233.0,973.0,1497.0,1813.0,1504.0,25.0,292.0,1427.0,9.0,12.0,15.0,11.0,
7,1526.0,775.0,454.0,1042.0,1648.0,993.0,19.0,84.0,442.0,2.0,5.0,3.0,1.0,
8,1124.0,481.0,200.0,705.0,1255.0,573.0,1.0,18.0,128.0,1.0,,,,
9,789.0,221.0,64.0,379.0,772.0,303.0,1.0,1.0,45.0,,,,,
10,473.0,99.0,17.0,212.0,435.0,123.0,,,14.0,,,,,
11,241.0,48.0,3.0,81.0,225.0,43.0,,,8.0,,,,,
12,76.0,8.0,1.0,33.0,112.0,21.0,,,,,,,,
13,28.0,2.0,,3.0,72.0,4.0,,,,,,,,
14,5.0,,,4.0,32.0,2.0,,,,,,,,
15,2.0,,,2.0,15.0,4.0,,,,,,,,
16,,,,,7.0,,,,,,,,,
17,,,,,2.0,1.0,,,,,,,,
21,,,,,,,,,,,,,,3.0
22,,,,,,,,,,,,,,3.0
23,,,,,,,,,,,,,,10.0
24,,,,,,,,,,,,,,15.0
25,,,,,,,,,,,,,,31.0
26,,,,,,,,,,,,,,62.0
27,,,,,,,,,,,,,,97.0
28,,,,,,,,,,,,,,140.0
29,,,,,,,,,,,,,,219.0
30,,,,,,,,,,,,,,367.0
31,,,,,,,,,,,,,,483.0
32,,,,,,,,,,,,,,630.0
33,,,,,,,,,,,,,,737.0
34,,,,,,,,,,,,,,851.0
35,,,,,,,,,,,,,,896.0
36,,,,,,,,,,,,,,921.0
37,,,,,,,,,,,,,,945.0
38,,,,,,,,,,,,,,811.0
39,,,,,,,,,,,,,,677.0
40,,,,,,,,,,,,,,615.0
41,,,,,,,,,,,,,,439.0
42,,,,,,,,,,,,,,364.0
43,,,,,,,,,,,,,,277.0
44,,,,,,,,,,,,,,189.0
45,,,,,,,,,,,,,,91.0
46,,,,,,,,,,,,,,57.0
47,,,,,,,,,,,,,,32.0
48,,,,,,,,,,,,,,16.0
49,,,,,,,,,,,,,,10.0
50,,,,,,,,,,,,,,5.0
51,,,,,,,,,,,,,,3.0
52,,,,,,,,,,,,,,1.0
53,,,,,,,,,,,,,,2.0
55,,,,,,,,,,,,,,1.0
