,anchor,map,rum,spyglass,rat,shark,parrot,kraken,coin,arrow_left,arrow_right,arrow_up,arrow_down,
0,42.0,235.0,587.0,51.0,,42.0,1889.0,1145.0,148.0,2864.0,2751.0,2828.0,2779.0,
1,211.0,811.0,1226.0,341.0,29.0,222.0,3710.0,1655.0,533.0,3478.0,3560.0,3623.0,3631.0,
2,596.0,1531.0,2060.0,903.0,128.0,658.0,1990.0,2561.0,1127.0,2277.0,2333.0,2277.0,2262.0,
3,1058.0,2000.0,2225.0,1495.0,284.0,1262.0,1820.0,2316.0,1790.0,992.0,961.0,908.0,922.0,
4,1555.0,1942.0,1940.0,1963.0,716.0,1731.0,316.0,1350.0,2192.0,285.0,297.0,280.0,313.0,
5,1815.0,1468.0,1109.0,1816.0,1228.0,1817.0,238.0,661.0,2094.0,79.0,78.0,66.0,72.0,
6,1620.0,987.0,558.0,1402.0,1524.0,1571.0,18.0,225.0,1296.0,19.0,18.0,16.0,17.0,
7,1342.0,582.0,208.0,947.0,1634.0,1272.0,19.0,63.0,446.0,5.0,2.0,2.0,3.0,
8,818.0,293.0,63.0,543.0,1588.0,740.0,,17.0,217.0,1.0,,,1.0,
9,519.0,105.0,15.0,305.0,1174.0,349.0,,6.0,95.0,,,,,
10,254.0,32.0,8.0,151.0,777.0,201.0,,1.0,30.0,,,,,
11,116.0,12.0,,59.0,421.0,88.0,,,19.0,,,,,
12,35.0,2.0,1.0,16.0,230.0,25.0,,,8.0,,,,,
13,18.0,,,7.0,150.0,15.0,,,3.0,,,,,
14,1.0,,,1.0,68.0,2.0,,,1.0,,,,,
15,,,,,33.0,4.0,,,1.0,,,,,
16,,,,,12.0,1.0,,,,,,,,
17,,,,,3.0,,,,,,,,,
18,,,,,1.0,,,,,,,,,1.0
21,,,,,,,,,,,,,,2.0
22,,,,,,,,,,,,,,1.0
23,,,,,,,,,,,,,,5.0
24,,,,,,,,,,,,,,7.0
25,,,,,,,,,,,,,,22.0
26,,,,,,,,,,,,,,43.0
27,,,,,,,,,,,,,,73.0
28,,,,,,,,,,,,,,104.0
29,,,,,,,,,,,,,,169.0
30,,,,,,,,,,,,,,243.0
31,,,,,,,,,,,,,,366.0
32,,,,,,,,,,,,,,474.0
33,,,,,,,,,,,,,,601.0
34,,,,,,,,,,,,,,695.0
35,,,,,,,,,,,,,,815.0
36,,,,,,,,,,,,,,909.0
37,,,,,,,,,,,,,,958.0
38,,,,,,,,,,,,,,918.0
39,,,,,,,,,,,,,,793.0
40,,,,,,,,,,,,,,686.0
41,,,,,,,,,,,,,,612.0
42,,,,,,,,,,,,,,444.0
43,,,,,,,,,,,,,,366.0
44,,,,,,,,,,,,,,262.0
45,,,,,,,,,,,,,,167.0
46,,,,,,,,,,,,,,118.0
47,,,,,,,,,,,,,,68.0
48,,,,,,,,,,,,,,39.0
49,,,,,,,,,,,,,,22.0
50,,,,,,,,,,,,,,7.0
51,,,,,,,,,,,,,,6.0
52,,,,,,,,,,,,,,2.0
53,,,,,,,,,,,,,,1.0
54,,,,,,,,,,,,,,1.0
