,anchor,map,rum,spyglass,rat,shark,parrot,kraken,coin,arrow_left,arrow_right,arrow_up,arrow_down,
0,6.0,63.0,192.0,21.0,46.0,145.0,1108.0,1537.0,50.0,3085.0,3129.0,3209.0,3078.0,
1,57.0,338.0,341.0,134.0,263.0,598.0,3943.0,1316.0,239.0,3700.0,3679.0,3594.0,3680.0,
2,208.0,806.0,790.0,445.0,814.0,1343.0,1395.0,2086.0,540.0,2110.0,2124.0,2105.0,2157.0,
3,450.0,1141.0,1127.0,1003.0,1456.0,1959.0,2767.0,2101.0,1132.0,831.0,797.0,821.0,801.0,
4,842.0,1564.0,1709.0,1520.0,1940.0,1981.0,243.0,1500.0,1718.0,217.0,225.0,215.0,218.0,
5,1139.0,1589.0,1788.0,1782.0,2056.0,1794.0,490.0,876.0,2376.0,47.0,40.0,47.0,56.0,
6,1425.0,1399.0,1667.0,1652.0,1577.0,1100.0,16.0,398.0,2872.0,7.0,6.0,7.0,7.0,
7,1428.0,1192.0,1153.0,1309.0,1012.0,637.0,37.0,133.0,824.0,3.0,,2.0,3.0,
8,1300.0,835.0,684.0,921.0,495.0,285.0,1.0,40.0,187.0,,,,,
9,1184.0,525.0,329.0,586.0,211.0,109.0,,10.0,51.0,,,,,
10,839.0,294.0,147.0,343.0,92.0,35.0,,2.0,9.0,,,,,
11,530.0,143.0,46.0,168.0,29.0,11.0,,,1.0,,,,,
12,351.0,88.0,23.0,87.0,5.0,,,1.0,1.0,,,,,
13,145.0,17.0,3.0,17.0,1.0,3.0,,,,,,,,
14,67.0,5.0,1.0,10.0,3.0,,,,,,,,,
15,26.0,1.0,,2.0,,,,,,,,,,
16,3.0,,,,,,,,,,,,,1.0
18,,,,,,,,,,,,,,2.0
19,,,,,,,,,,,,,,2.0
20,,,,,,,,,,,,,,6.0
21,,,,,,,,,,,,,,7.0
22,,,,,,,,,,,,,,19.0
23,,,,,,,,,,,,,,38.0
24,,,,,,,,,,,,,,58.0
25,,,,,,,,,,,,,,93.0
26,,,,,,,,,,,,,,160.0
27,,,,,,,,,,,,,,255.0
28,,,,,,,,,,,,,,384.0
29,,,,,,,,,,,,,,479.0
30,,,,,,,,,,,,,,666.0
31,,,,,,,,,,,,,,749.0
32,,,,,,,,,,,,,,849.0
33,,,,,,,,,,,,,,927.0
34,,,,,,,,,,,,,,900.0
35,,,,,,,,,,,,,,953.0
36,,,,,,,,,,,,,,763.0
37,,,,,,,,,,,,,,718.0
38,,,,,,,,,,,,,,561.0
39,,,,,,,,,,,,,,520.0
40,,,,,,,,,,,,,,310.0
41,,,,,,,,,,,,,,220.0
42,,,,,,,,,,,,,,149.0
43,,,,,,,,,,,,,,87.0
44,,,,,,,,,,,,,,62.0
45,,,,,,,,,,,,,,29.0
46,,,,,,,,,,,,,,23.0
47,,,,,,,,,,,,,,6.0
48,,,,,,,,,,,,,,1.0
49,,,,,,,,,,,,,,1.0
52,,,,,,,,,,,,,,1.0
53,,,,,,,,,,,,,,1.0
