,anchor,map,rum,spyglass,rat,shark,parrot,kraken,coin,arrow_left,arrow_right,arrow_up,arrow_down,
0,27.0,210.0,826.0,66.0,3.0,54.0,1588.0,1177.0,233.0,2705.0,2768.0,2845.0,2770.0,
1,224.0,814.0,1235.0,360.0,24.0,219.0,4423.0,1645.0,741.0,3599.0,3585.0,3502.0,3578.0,
2,633.0,1576.0,2010.0,892.0,118.0,641.0,1310.0,2608.0,1340.0,2331.0,2335.0,2291.0,2267.0,
3,1153.0,1959.0,2018.0,1533.0,300.0,1141.0,2229.0,2290.0,1796.0,983.0,919.0,964.0,958.0,
4,1611.0,1911.0,1879.0,2081.0,665.0,1713.0,154.0,1346.0,1877.0,297.0,301.0,307.0,325.0,
5,1727.0,1510.0,1193.0,1851.0,1073.0,1766.0,272.0,600.0,1817.0,67.0,81.0,68.0,78.0,
6,1577.0,996.0,563.0,1364.0,1505.0,1592.0,8.0,240.0,1538.0,15.0,7.0,19.0,20.0,
7,1265.0,577.0,195.0,855.0,1667.0,1311.0,16.0,67.0,432.0,2.0,4.0,2.0,4.0,
8,843.0,285.0,58.0,535.0,1603.0,781.0,,21.0,133.0,1.0,,2.0,,
9,474.0,103.0,19.0,263.0,1230.0,396.0,,5.0,57.0,,,,,
10,262.0,39.0,2.0,123.0,867.0,224.0,,1.0,16.0,,,,,
11,122.0,16.0,1.0,53.0,438.0,99.0,,,13.0,,,,,
12,59.0,4.0,1.0,16.0,208.0,39.0,,,6.0,,,,,
13,22.0,,,7.0,152.0,16.0,,,1.0,,,,,
14,,,,1.0,74.0,5.0,,,,,,,,
15,1.0,,,,38.0,2.0,,,,,,,,
16,,,,,24.0,,,,,,,,,
17,,,,,7.0,1.0,,,,,,,,
18,,,,,2.0,,,,,,,,,
19,,,,,2.0,,,,,,,,,1.0
21,,,,,,,,,,,,,,1.0
22,,,,,,,,,,,,,,2.0
23,,,,,,,,,,,,,,4.0
24,,,,,,,,,,,,,,7.0
25,,,,,,,,,,,,,,28.0
26,,,,,,,,,,,,,,39.0
27,,,,,,,,,,,,,,68.0
28,,,,,,,,,,,,,,103.0
29,,,,,,,,,,,,,,169.0
30,,,,,,,,,,,,,,246.0
31,,,,,,,,,,,,,,360.0
32,,,,,,,,,,,,,,461.0
33,,,,,,,,,,,,,,526.0
34,,,,,,,,,,,,,,681.0
35,,,,,,,,,,,,,,823.0
36,,,,,,,,,,,,,,905.0
37,,,,,,,,,,,,,,938.0
38,,,,,,,,,,,,,,869.0
39,,,,,,,,,,,,,,796.0
40,,,,,,,,,,,,,,715.0
41,,,,,,,,,,,,,,625.0
42,,,,,,,,,,,,,,494.0
43,,,,,,,,,,,,,,419.0
44,,,,,,,,,,,,,,264.0
45,,,,,,,,,,,,,,176.0
46,,,,,,,,,,,,,,122.0
47,,,,,,,,,,,,,,74.0
48,,,,,,,,,,,,,,40.0
49,,,,,,,,,,,,,,22.0
50,,,,,,,,,,,,,,13.0
51,,,,,,,,,,,,,,3.0
52,,,,,,,,,,,,,,4.0
53,,,,,,,,,,,,,,1.0
54,,,,,,,,,,,,,,1.0
