
,anchor,map,rum,spyglass,rat,shark,parrot,kraken,coin,arrow_left,arrow_right,arrow_up,arrow_down,
0,44.0,211.0,648.0,56.0,1.0,43.0,1922.0,1077.0,161.0,2830.0,2797.0,2883.0,2767.0,
1,229.0,823.0,1197.0,352.0,21.0,236.0,3656.0,1689.0,571.0,3648.0,3609.0,3586.0,3619.0,
2,564.0,1496.0,2023.0,904.0,120.0,648.0,1929.0,2633.0,1153.0,2247.0,2286.0,2233.0,2324.0,
3,1101.0,2023.0,2216.0,1583.0,331.0,1194.0,1915.0,2268.0,1711.0,937.0,939.0,935.0,932.0,
4,1602.0,1928.0,1877.0,1901.0,692.0,1689.0,304.0,1311.0,2240.0,237.0,288.0,274.0,263.0,
5,1661.0,1534.0,1181.0,1841.0,1142.0,1880.0,243.0,708.0,2085.0,81.0,65.0,76.0,78.0,
6,1621.0,1015.0,577.0,1379.0,1536.0,1620.0,18.0,234.0,1267.0,19.0,13.0,12.0,17.0,
7,1241.0,563.0,199.0,946.0,1754.0,1193.0,11.0,64.0,446.0,1.0,3.0,1.0,,
8,907.0,253.0,61.0,512.0,1517.0,773.0,2.0,13.0,193.0,,,,,
9,534.0,107.0,18.0,294.0,1157.0,366.0,,2.0,92.0,,,,,
10,315.0,38.0,1.0,152.0,718.0,191.0,,,47.0,,,,,
11,123.0,8.0,2.0,53.0,452.0,104.0,,,23.0,,,,,
12,40.0,1.0,,16.0,296.0,43.0,,1.0,7.0,,,,,
13,13.0,,,8.0,144.0,16.0,,,3.0,,,,,
14,3.0,,,3.0,72.0,3.0,,,1.0,,,,,
15,2.0,,,,29.0,1.0,,,,,,,,
16,,,,,11.0,,,,,,,,,
17,,,,,7.0,,,,,,,,,
21,,,,,,,,,,,,,,1.0
22,,,,,,,,,,,,,,4.0
23,,,,,,,,,,,,,,6.0
24,,,,,,,,,,,,,,11.0
25,,,,,,,,,,,,,,24.0
26,,,,,,,,,,,,,,41.0
27,,,,,,,,,,,,,,56.0
28,,,,,,,,,,,,,,104.0
29,,,,,,,,,,,,,,183.0
30,,,,,,,,,,,,,,272.0
31,,,,,,,,,,,,,,371.0
32,,,,,,,,,,,,,,462.0
33,,,,,,,,,,,,,,587.0
34,,,,,,,,,,,,,,712.0
35,,,,,,,,,,,,,,840.0
36,,,,,,,,,,,,,,854.0
37,,,,,,,,,,,,,,894.0
38,,,,,,,,,,,,,,916.0
39,,,,,,,,,,,,,,809.0
40,,,,,,,,,,,,,,733.0
41,,,,,,,,,,,,,,620.0
42,,,,,,,,,,,,,,472.0
43,,,,,,,,,,,,,,364.0
44,,,,,,,,,,,,,,239.0
45,,,,,,,,,,,,,,162.0
46,,,,,,,,,,,,,,98.0
47,,,,,,,,,,,,,,69.0
48,,,,,,,,,,,,,,43.0
49,,,,,,,,,,,,,,26.0
50,,,,,,,,,,,,,,13.0
51,,,,,,,,,,,,,,11.0
52,,,,,,,,,,,,,,2.0
53,,,,,,,,,,,,,,1.0
