,anchor,map,rum,spyglass,rat,shark,parrot,kraken,coin,arrow_left,arrow_right,arrow_up,arrow_down,
0,,2.0,2.0,3.0,,,24.0,10.0,1.0,28.0,32.0,23.0,25.0,
1,,5.0,7.0,2.0,,6.0,33.0,14.0,5.0,39.0,34.0,40.0,39.0,
2,6.0,9.0,19.0,7.0,2.0,4.0,19.0,21.0,14.0,18.0,21.0,24.0,27.0,
3,6.0,17.0,17.0,11.0,3.0,10.0,18.0,27.0,24.0,11.0,12.0,11.0,6.0,
4,10.0,19.0,18.0,26.0,10.0,21.0,2.0,15.0,20.0,4.0,1.0,2.0,1.0,
5,16.0,18.0,17.0,9.0,22.0,19.0,4.0,8.0,20.0,,,,1.0,
6,15.0,11.0,15.0,16.0,23.0,17.0,,5.0,9.0,,,,1.0,
7,14.0,8.0,4.0,16.0,14.0,8.0,,,7.0,,,,,
8,10.0,5.0,1.0,4.0,12.0,6.0,,,,,,,,
9,9.0,3.0,,1.0,4.0,7.0,,,,,,,,
10,8.0,3.0,,3.0,6.0,2.0,,,,,,,,
11,3.0,,,1.0,2.0,,,,,,,,,
12,1.0,,,,,,,,,,,,,
13,2.0,,,1.0,,,,,,,,,,
14,,,,,2.0,,,,,,,,,
25,,,,,,,,,,,,,,1.0
26,,,,,,,,,,,,,,1.0
28,,,,,,,,,,,,,,2.0
29,,,,,,,,,,,,,,4.0
30,,,,,,,,,,,,,,6.0
31,,,,,,,,,,,,,,7.0
32,,,,,,,,,,,,,,4.0
33,,,,,,,,,,,,,,5.0
34,,,,,,,,,,,,,,8.0
35,,,,,,,,,,,,,,14.0
36,,,,,,,,,,,,,,7.0
37,,,,,,,,,,,,,,11.0
38,,,,,,,,,,,,,,5.0
39,,,,,,,,,,,,,,5.0
40,,,,,,,,,,,,,,5.0
41,,,,,,,,,,,,,,6.0
42,,,,,,,,,,,,,,5.0
43,,,,,,,,,,,,,,2.0
46,,,,,,,,,,,,,,1.0
48,,,,,,,,,,,,,,1.0
