,anchor,map,rum,spyglass,rat,shark,parrot,kraken,coin,arrow_left,arrow_right,arrow_up,arrow_down,
0,1.0,28.0,67.0,6.0,8.0,61.0,797.0,823.0,22.0,2483.0,2414.0,2435.0,2437.0,
1,14.0,121.0,141.0,55.0,111.0,297.0,3223.0,945.0,101.0,3515.0,3436.0,3439.0,3551.0,
2,61.0,356.0,406.0,207.0,449.0,800.0,1386.0,1792.0,347.0,2448.0,2452.0,2482.0,2391.0,
3,180.0,651.0,720.0,549.0,887.0,1504.0,3242.0,2099.0,771.0,1062.0,1179.0,1126.0,1107.0,
4,386.0,1033.0,1219.0,977.0,1473.0,1897.0,330.0,1940.0,1452.0,362.0,380.0,378.0,388.0,
5,618.0,1300.0,1658.0,1434.0,1849.0,1916.0,868.0,1290.0,2400.0,108.0,114.0,114.0,99.0,
6,922.0,1386.0,1780.0,1522.0,1884.0,1501.0,55.0,714.0,3271.0,14.0,20.0,22.0,19.0,
7,1190.0,1412.0,1596.0,1502.0,1427.0,977.0,87.0,278.0,1163.0,8.0,3.0,4.0,6.0,
8,1326.0,1207.0,1069.0,1267.0,962.0,562.0,,92.0,332.0,,2.0,,2.0,
9,1358.0,920.0,726.0,927.0,542.0,296.0,12.0,23.0,91.0,,,,,
10,1233.0,683.0,344.0,674.0,240.0,123.0,,4.0,34.0,,,,,
11,1055.0,442.0,175.0,440.0,95.0,40.0,,,11.0,,,,,
12,865.0,308.0,77.0,284.0,44.0,14.0,,,4.0,,,,,
13,444.0,103.0,15.0,99.0,13.0,9.0,,,1.0,,,,,
14,208.0,32.0,4.0,38.0,9.0,2.0,,,,,,,,
15,93.0,12.0,2.0,14.0,4.0,1.0,,,,,,,,
16,28.0,4.0,1.0,4.0,2.0,,,,,,,,,
17,13.0,2.0,,,1.0,,,,,,,,,
18,3.0,,,1.0,,,,,,,,,,
19,2.0,,,,,,,,,,,,,
25,,,,,,,,,,,,,,1.0
26,,,,,,,,,,,,,,3.0
27,,,,,,,,,,,,,,8.0
28,,,,,,,,,,,,,,23.0
29,,,,,,,,,,,,,,30.0
30,,,,,,,,,,,,,,55.0
31,,,,,,,,,,,,,,81.0
32,,,,,,,,,,,,,,130.0
33,,,,,,,,,,,,,,221.0
34,,,,,,,,,,,,,,278.0
35,,,,,,,,,,,,,,398.0
36,,,,,,,,,,,,,,529.0
37,,,,,,,,,,,,,,585.0
38,,,,,,,,,,,,,,711.0
39,,,,,,,,,,,,,,753.0
40,,,,,,,,,,,,,,840.0
41,,,,,,,,,,,,,,878.0
42,,,,,,,,,,,,,,879.0
43,,,,,,,,,,,,,,741.0
44,,,,,,,,,,,,,,667.0
45,,,,,,,,,,,,,,577.0
46,,,,,,,,,,,,,,489.0
47,,,,,,,,,,,,,,353.0
48,,,,,,,,,,,,,,268.0
49,,,,,,,,,,,,,,205.0
50,,,,,,,,,,,,,,114.0
51,,,,,,,,,,,,,,66.0
52,,,,,,,,,,,,,,52.0
53,,,,,,,,,,,,,,28.0
54,,,,,,,,,,,,,,14.0
55,,,,,,,,,,,,,,12.0
56,,,,,,,,,,,,,,6.0
57,,,,,,,,,,,,,,4.0
59,,,,,,,,,,,,,,1.0
