,anchor,map,rum,spyglass,rat,shark,parrot,kraken,coin,arrow_left,arrow_right,arrow_up,arrow_down,
0,13.0,149.0,278.0,71.0,,4.0,2243.0,200.0,156.0,2012.0,2032.0,2032.0,2044.0,
1,175.0,721.0,2301.0,313.0,2.0,45.0,1901.0,2260.0,792.0,3292.0,3240.0,3303.0,3224.0,
2,568.0,1590.0,3055.0,807.0,8.0,175.0,4155.0,2742.0,1710.0,2550.0,2563.0,2592.0,2681.0,
3,1181.0,2366.0,2690.0,1387.0,35.0,419.0,424.0,2221.0,2072.0,1408.0,1401.0,1344.0,1275.0,
4,1831.0,2314.0,1094.0,1738.0,93.0,805.0,1139.0,1398.0,1580.0,550.0,549.0,501.0,556.0,
5,1960.0,1605.0,435.0,1798.0,196.0,1141.0,35.0,672.0,896.0,132.0,170.0,170.0,159.0,
6,1688.0,799.0,113.0,1507.0,332.0,1423.0,97.0,296.0,332.0,41.0,34.0,45.0,47.0,
7,1292.0,331.0,21.0,1139.0,577.0,1450.0,2.0,143.0,566.0,13.0,9.0,11.0,13.0,
8,707.0,99.0,12.0,658.0,857.0,1391.0,4.0,45.0,631.0,2.0,1.0,2.0,1.0,
9,353.0,21.0,1.0,345.0,1128.0,1144.0,,16.0,524.0,,1.0,,,
10,161.0,5.0,,147.0,1315.0,816.0,,6.0,391.0,,,,,
11,42.0,,,59.0,1509.0,587.0,,1.0,210.0,,,,,
12,11.0,,,24.0,1550.0,330.0,,,95.0,,,,,
13,6.0,,,5.0,1023.0,160.0,,,26.0,,,,,
14,7.0,,,1.0,655.0,74.0,,,12.0,,,,,
15,3.0,,,1.0,368.0,25.0,,,5.0,,,,,
16,,,,,196.0,7.0,,,2.0,,,,,
17,2.0,,,,101.0,1.0,,,,,,,,
18,,,,,35.0,3.0,,,,,,,,
19,,,,,15.0,,,,,,,,,
20,,,,,4.0,,,,,,,,,
22,,,,,1.0,,,,,,,,,
27,,,,,,,,,,,,,,2.0
29,,,,,,,,,,,,,,1.0
30,,,,,,,,,,,,,,1.0
31,,,,,,,,,,,,,,6.0
32,,,,,,,,,,,,,,10.0
33,,,,,,,,,,,,,,24.0
34,,,,,,,,,,,,,,23.0
35,,,,,,,,,,,,,,46.0
36,,,,,,,,,,,,,,65.0
37,,,,,,,,,,,,,,137.0
38,,,,,,,,,,,,,,182.0
39,,,,,,,,,,,,,,252.0
40,,,,,,,,,,,,,,341.0
41,,,,,,,,,,,,,,408.0
42,,,,,,,,,,,,,,499.0
43,,,,,,,,,,,,,,623.0
44,,,,,,,,,,,,,,733.0
45,,,,,,,,,,,,,,755.0
46,,,,,,,,,,,,,,847.0
47,,,,,,,,,,,,,,756.0
48,,,,,,,,,,,,,,774.0
49,,,,,,,,,,,,,,718.0
50,,,,,,,,,,,,,,667.0
51,,,,,,,,,,,,,,566.0
52,,,,,,,,,,,,,,448.0
53,,,,,,,,,,,,,,328.0
54,,,,,,,,,,,,,,270.0
55,,,,,,,,,,,,,,189.0
56,,,,,,,,,,,,,,128.0
57,,,,,,,,,,,,,,95.0
58,,,,,,,,,,,,,,40.0
59,,,,,,,,,,,,,,38.0
60,,,,,,,,,,,,,,13.0
61,,,,,,,,,,,,,,7.0
62,,,,,,,,,,,,,,6.0
64,,,,,,,,,,,,,,1.0
65,,,,,,,,,,,,,,1.0
