,anchor,map,rum,spyglass,rat,shark,parrot,kraken,coin,arrow_left,arrow_right,arrow_up,arrow_down,
0,14.0,84.0,396.0,22.0,2.0,21.0,1047.0,927.0,65.0,2204.0,2230.0,2191.0,2140.0,
1,84.0,436.0,666.0,145.0,5.0,97.0,3776.0,1114.0,247.0,3400.0,3390.0,3376.0,3289.0,
2,238.0,930.0,1324.0,390.0,41.0,339.0,1404.0,2049.0,613.0,2577.0,2484.0,2538.0,2610.0,
3,543.0,1471.0,1716.0,864.0,166.0,811.0,2918.0,2242.0,1044.0,1212.0,1275.0,1225.0,1299.0,
4,850.0,1686.0,1959.0,1428.0,399.0,1291.0,249.0,1769.0,1630.0,449.0,459.0,491.0,485.0,
5,1287.0,1649.0,1729.0,1705.0,760.0,1623.0,532.0,1091.0,2122.0,123.0,129.0,140.0,124.0,
6,1537.0,1407.0,1183.0,1704.0,1186.0,1693.0,21.0,533.0,2664.0,26.0,28.0,32.0,46.0,
7,1471.0,1021.0,610.0,1398.0,1504.0,1500.0,49.0,200.0,946.0,7.0,4.0,5.0,7.0,
8,1294.0,618.0,267.0,965.0,1577.0,1081.0,1.0,59.0,377.0,2.0,1.0,1.0,,
9,1093.0,375.0,106.0,674.0,1507.0,744.0,3.0,15.0,158.0,,,1.0,,
10,688.0,191.0,32.0,363.0,1115.0,410.0,,1.0,65.0,,,,,
11,447.0,92.0,12.0,178.0,668.0,204.0,,,40.0,,,,,
12,287.0,31.0,,99.0,391.0,98.0,,,15.0,,,,,
13,110.0,7.0,,52.0,293.0,48.0,,,6.0,,,,,
14,40.0,2.0,,8.0,190.0,27.0,,,3.0,,,,,
15,15.0,,,4.0,112.0,7.0,,,4.0,,,,,
16,1.0,,,1.0,55.0,3.0,,,1.0,,,,,
17,1.0,,,,17.0,2.0,,,,,,,,
18,,,,,6.0,1.0,,,,,,,,
19,,,,,4.0,,,,,,,,,
21,,,,,2.0,,,,,,,,,
26,,,,,,,,,,,,,,1.0
27,,,,,,,,,,,,,,2.0
28,,,,,,,,,,,,,,5.0
29,,,,,,,,,,,,,,12.0
30,,,,,,,,,,,,,,8.0
31,,,,,,,,,,,,,,15.0
32,,,,,,,,,,,,,,28.0
33,,,,,,,,,,,,,,63.0
34,,,,,,,,,,,,,,110.0
35,,,,,,,,,,,,,,134.0
36,,,,,,,,,,,,,,204.0
37,,,,,,,,,,,,,,293.0
38,,,,,,,,,,,,,,399.0
39,,,,,,,,,,,,,,462.0
40,,,,,,,,,,,,,,632.0
41,,,,,,,,,,,,,,649.0
42,,,,,,,,,,,,,,769.0
43,,,,,,,,,,,,,,826.0
44,,,,,,,,,,,,,,841.0
45,,,,,,,,,,,,,,818.0
46,,,,,,,,,,,,,,781.0
47,,,,,,,,,,,,,,716.0
48,,,,,,,,,,,,,,548.0
49,,,,,,,,,,,,,,480.0
50,,,,,,,,,,,,,,364.0
51,,,,,,,,,,,,,,268.0
52,,,,,,,,,,,,,,199.0
53,,,,,,,,,,,,,,125.0
54,,,,,,,,,,,,,,100.0
55,,,,,,,,,,,,,,63.0
56,,,,,,,,,,,,,,38.0
57,,,,,,,,,,,,,,24.0
58,,,,,,,,,,,,,,14.0
59,,,,,,,,,,,,,,5.0
60,,,,,,,,,,,,,,2.0
62,,,,,,,,,,,,,,1.0
65,,,,,,,,,,,,,,1.0
