,anchor,map,rum,spyglass,rat,shark,parrot,kraken,coin,arrow_left,arrow_right,arrow_up,arrow_down,
0,54.0,248.0,460.0,153.0,,15.0,3009.0,271.0,374.0,2598.0,2616.0,2657.0,2626.0,
1,331.0,1112.0,2864.0,691.0,7.0,137.0,2030.0,3021.0,1370.0,3518.0,3473.0,3558.0,3543.0,
2,1028.0,2111.0,3290.0,1370.0,37.0,417.0,3911.0,3113.0,2482.0,2387.0,2447.0,2329.0,2363.0,
3,1715.0,2592.0,2322.0,1892.0,109.0,841.0,318.0,1987.0,2433.0,1061.0,1018.0,1005.0,1044.0,
4,2075.0,2034.0,797.0,1944.0,273.0,1335.0,673.0,1005.0,1597.0,322.0,335.0,327.0,310.0,
5,1922.0,1205.0,212.0,1589.0,517.0,1501.0,17.0,375.0,676.0,88.0,80.0,101.0,91.0,
6,1458.0,483.0,46.0,1117.0,841.0,1643.0,38.0,142.0,179.0,17.0,23.0,17.0,15.0,
7,826.0,170.0,6.0,702.0,1040.0,1472.0,,66.0,298.0,7.0,8.0,6.0,7.0,
8,372.0,37.0,3.0,349.0,1321.0,1043.0,4.0,13.0,240.0,1.0,,,1.0,
9,155.0,7.0,,125.0,1421.0,716.0,,5.0,180.0,1.0,,,,
10,45.0,1.0,,49.0,1344.0,448.0,,2.0,99.0,,,,,
11,13.0,,,16.0,1180.0,245.0,,,49.0,,,,,
12,4.0,,,,975.0,128.0,,,15.0,,,,,
13,2.0,,,2.0,503.0,29.0,,,7.0,,,,,
14,,,,1.0,257.0,16.0,,,1.0,,,,,
15,,,,,105.0,11.0,,,,,,,,
16,,,,,45.0,2.0,,,,,,,,
17,,,,,18.0,1.0,,,,,,,,
18,,,,,3.0,,,,,,,,,
19,,,,,2.0,,,,,,,,,
20,,,,,1.0,,,,,,,,,1.0
21,,,,,1.0,,,,,,,,,
23,,,,,,,,,,,,,,2.0
24,,,,,,,,,,,,,,3.0
25,,,,,,,,,,,,,,11.0
26,,,,,,,,,,,,,,8.0
27,,,,,,,,,,,,,,24.0
28,,,,,,,,,,,,,,40.0
29,,,,,,,,,,,,,,98.0
30,,,,,,,,,,,,,,101.0
31,,,,,,,,,,,,,,202.0
32,,,,,,,,,,,,,,312.0
33,,,,,,,,,,,,,,398.0
34,,,,,,,,,,,,,,522.0
35,,,,,,,,,,,,,,634.0
36,,,,,,,,,,,,,,703.0
37,,,,,,,,,,,,,,815.0
38,,,,,,,,,,,,,,835.0
39,,,,,,,,,,,,,,889.0
40,,,,,,,,,,,,,,823.0
41,,,,,,,,,,,,,,771.0
42,,,,,,,,,,,,,,763.0
43,,,,,,,,,,,,,,592.0
44,,,,,,,,,,,,,,434.0
45,,,,,,,,,,,,,,343.0
46,,,,,,,,,,,,,,229.0
47,,,,,,,,,,,,,,170.0
48,,,,,,,,,,,,,,126.0
49,,,,,,,,,,,,,,77.0
50,,,,,,,,,,,,,,41.0
51,,,,,,,,,,,,,,15.0
52,,,,,,,,,,,,,,8.0
53,,,,,,,,,,,,,,5.0
54,,,,,,,,,,,,,,4.0
56,,,,,,,,,,,,,,1.0
